CS 494 lecture,"['MW 2-3:50p']"
CS 499 lecture,"['MW 12-1:50p', 'F 1-1:50p', 'MW 4-5:50p', 'MW 2-3:50p', 'MF 2-2:50p', 'TR 4-5:20p']"
CS 515 lecture,"['TR 2-3:50p']"
CS 527 lecture,"['MW 2-3:50p']"
CS 529 lecture,"['MW 8-9:50a']"
CS 540 lecture,"['TR 4-5:50p']"
CS 546 lecture,"['MW 4-5:20p']"
CS 551 lecture,"['MW 12-1:50p']"
CS 554 lecture,"['MW 4-5:50p']"
CS 557 lecture,"['MW 10-11:50a']"
CS 559 lecture,"['MF 2-2:50p', 'TR 4-5:20p']"
CS 564 lecture,"['MW 2-3:50p']"
CS 565 lecture,"['MW 12-1:50p']"
CS 570 lecture,"['TR 8-9:50a']"
CS 576 lecture,"['TR 10-11:50a']"
CS 579 lecture,"['TR 12-1:50p']"
CSSA 520 lecture,"['W 4-6:50p']"
CSSA 552 lecture,"['M 4-6:50p']"
CSSA 554 lecture,"['R 4-6:50p']"
CSSA 557 lecture,"['W 4-4:50p']"
DSGN 226 lecture,"['MW 12-1:50p']"
DSGN 244 lecture,"['TR 2-3:50p']"
DSGN 253 lecture,"['TR 12-1:20p']"
DSGN 255 lecture,"['TR 10-11:50a']"
DSGN 327 lecture,"['MW 2-2:50p']"
DSGN 428 lecture,"['TR 8-9:50a']"
DSGN 429 lecture,"['TR 11-11:50a']"
DSGN 441 lecture,"['MW 8-9:50a']"
ECE 331 lecture,"['TR 12-1:50p']"
ECE 341 lecture,"['W 4-5:50p']"
ECE 342 lecture,"['WF 4-4:50p']"
ECE 351 lecture,"['TR 10-11:20a']"
ECE 352 lecture,"['TR 10-11:20a']"
ECE 353 lecture,"['TR 8:30-9:50a']"
ECE 372 lecture,"['TR 2-3:50p']"
ECE 375 lecture,"['TR 4-5:20p']"
ECE 390 lecture,"['TR 4-5:50p']"
ECE 391 lecture,"['TR 2-3:20p']"
ECE 417 lecture,"['TR 2-3:50p']"
ECE 423 lecture,"['MW 2-3:50p']"
ECE 442 lecture,"['F 12-1:50p']"
ECE 462 lecture,"['MW 10-11:50a']"
ECE 471 lecture,"['TR 12-1:20p']"
ECE 476 lecture,"['TR 10-11:50a']"
ECE 482 lecture,"['TR 8-9:50a']"
ECE 517 lecture,"['TR 2-3:50p']"
ECE 523 lecture,"['MW 2-3:50p']"
ECE 536 lecture,"['TR 8:30-9:50a']"
ECE 538 lecture,"['MW 10-11:50a']"
ECE 550 lecture,"['MW 12-1:50p']"
ECE 562 lecture,"['MW 10-11:50a']"
ECE 566 lecture,"['TR 10-11:50a']"
ECE 570 lecture,"['TR 8-9:50a']"
ECE 571 lecture,"['TR 12-1:20p']"
ECE 576 lecture,"['TR 10-11:50a']"
ECE 582 lecture,"['TR 8-9:50a']"
ECE 599 lecture,"['MW 2-3:50p', 'MW 4-5:50p', 'TR 12-1:50p', 'MWF 3-3:50p']"
ECE 615 lecture,"['TR 2-3:20p']"
ECON 201 lecture,"['TR 12-1:50p', 'TR 10-11:50a', 'TR 4-5:50p']"
ECON 202 lecture,"['MW 10-11:50a', 'MW 12-1:50p']"
ECON 311 lecture,"['TR 12-1:50p']"
ECON 350 lecture,"['TR 10-11:50a']"
ECON 423 lecture,"['MW 8-9:50a']"
ECON 427 lecture,"['MW 10-11:50a']"
ECON 439 lecture,"['TR 10-11:50a']"
ECON 441 lecture,"['MW 4-5:50p']"
ECON 455 lecture,"['MW 12-1:50p']"
ECON 466 lecture,"['TR 2-3:50p']"
ECON 499 lecture,"['MW 2-3:50p']"
ECON 524 lecture,"['MW 2-3:50p']"
ECON 539 lecture,"['MW 10-11:50a']"
