MTH341 lecture,"['MWF 2-2:50p', 'MWF 10-10:50a', 'MWF 3-3:50p']"
MTH342 lecture,"['MWF 2-2:50p']"
MTH343 lecture,"['MWF 2-2:50p']"
MTH351 lecture,"['MWF 3-3:50p']"
MTH361 lecture,"['MWF 11-11:50a']"
MTH427 lecture,"['MWF 1-1:50p']"
MTH440 lecture,"['MWF 3-3:50p']"
MTH451 lecture,"['MWF 10-10:50a']"
MTH463 lecture,"['WF 4-5:20p']"
MTH481 lecture,"['MWF 9-9:50a']"
MTH511 lecture,"['MWF 9-9:50a']"
MTH543 lecture,"['MWF 2-2:50p']"
MTH551 lecture,"['MWF 10-10:50a']"
MTH581 lecture,"['MWF 9-9:50a']"
MTH654 lecture,"['MWF 3-3:50p']"
MB230 lecture,"['MWF 12-12:50p']"
MB302 lecture,"['MWF 9-9:50a']"
MB416 lecture,"['MWF 10-10:50a']"
PH104 lecture,"['MWF 12-12:50p']"
PH201 lecture,"['MWF 8-8:50a; W 7-8:20p', 'MWF 9-9:50a; W 7-8:20p', 'MWF 3-3:50p; W 7-8:20p']"
PH211 lecture,"['MWF 2-2:50p; W 7-8:20p', 'MWF 1-1:50p; W 7-8:20p', 'MWF 4-4:50p; W 7-8:20p']"
PH212 lecture,"['TR 9-9:50a; W 7-8:20p', 'TR 10-10:50a; W 7-8:20p', 'TR 4-4:50p; W 7-8:20p']"
PH213 lecture,"['MWF 11-11:50a; W 7-8:20p']"
PH313 lecture,"['MWF 11-11:50a']"
PH423 lecture,"['MWF 1-1:50p; TR 12-1:50p']"
PH431 lecture,"['MWF 10-10:50a']"
PH562 lecture,"['MWF 11-11:50a']"
PH651 lecture,"['MWF 9-9:50a']"
ST201 lecture,"['TR 8:30-9:50a; T 7-8:20p', 'TR 12-1:20p; T 7-8:20p']"
ST314 lecture,"['TR 8:30-9:50a', 'TR 8:30-9:50a']"
ST351 lecture,"['MWF 8-8:50a', 'MWF 1-1:50p', 'MWF 10-10:50a']"
ST352 lecture,"['MWF 12-12:50p']"
ST411 lecture,"['MWF 10-10:50a']"
ST421 lecture,"['MWF 2-2:50p']"
ST511 lecture,"['MWF 10-10:50a']"
ST521 lecture,"['MWF 2-2:50p']"
