ECON424 lecture,['MW 2-3:50p']
ECON428 lecture,[]
ECON435 lecture,['TR 12-1:50p']
ECON439 lecture,['TR 10-11:50a']
ECON460 lecture,[]
ECON491 lecture,[]
ECON517 lecture,['MW 2-3:50p']
PPOL512 lecture,[]
PPOL521 lecture,['TR 12-1:50p']
PPOL523 lecture,['TR 10-11:50a']
PPOL622 lecture,['MW 10-11:50a']
PS110 lecture,[]
PS201 lecture,['MW 12-1:50p']
PS204 lecture,['TR 10-11:50a']
PS205 lecture,['TR 12-1:50p']
PS206 lecture,[]
PS300 lecture,['MW 10-11:50a']
PS312 lecture,[]
PS313 lecture,['MW 12-1:50p']
PS321 lecture,[]
PS331 lecture,[]
PS345 lecture,['TR 12-1:50p']
PS346 lecture,[]
PS348 lecture,['TR 2-3:50p']
PS362 lecture,[]
PS363 lecture,[]
PS371 lecture,[]
PS399 lecture,[]
PS455 lecture,[]
PS458 lecture,[]
PS475 lecture,[]
PS477 lecture,[]
PS478 lecture,[]
PS577 lecture,[]
PS578 lecture,[]
SOC204 lecture,['MW 4-5:20p']
SOC205 lecture,[]
SOC206 lecture,['TR 10-11:20a']
SOC241 lecture,[]
SOC312 lecture,[]
SOC315 lecture,['TR 12-1:50p']
SOC340 lecture,[]
SOC345 lecture,[]
SOC350 lecture,[]
SOC355 lecture,[]
SOC360 lecture,[]
SOC381 lecture,[]
SOC413 lecture,[]
SOC437 lecture,['TR 2-3:50p']
SOC439 lecture,[]
SOC441 lecture,['TR 2-3:50p']
SOC442 lecture,[]
SOC450 lecture,[]
SOC452 lecture,[]
SOC454 lecture,[]
SOC480 lecture,[]
SOC481 lecture,[]
ENG104 lecture,['MWF 9-9:50a', 'TR 12-1:20p', 'MWF 2-2:50p']
ENG106 lecture,['MWF 12-12:50p']
ENG107 lecture,[]
ENG200 lecture,[]
ENG201 lecture,[]
ENG204 lecture,['MW 10-11:50a']
ENG210 lecture,[]
ENG211 lecture,[]
ENG213 lecture,[]
ENG222 lecture,[]
ENG253 lecture,[]
ENG275 lecture,[]
ENG319 lecture,[]
ENG320 lecture,[]
ENG330 lecture,[]
ENG362 lecture,[]
ENG375 lecture,[]
ENG386 lecture,[]
ENG418 lecture,[]
ENG425 lecture,[]
FILM245 lecture,[]
FILM445 lecture,[]
WR121 lecture,['MW 8-9:50a', 'MW 2-3:50p', 'TR 8-9:50a', 'TR 8-9:50a', 'TR 4-5:50p', 'MW 4-5:50p', 'TR 12-1:50p', 'MW 12-1:50p', 'TR 2-3:50p', 'MW 4-5:50p', 'MW 10-11:50a', 'MW 2-3:50p', 'TR 12-1:50p', 'MW 8-9:50a', 'MW 2-3:50p', 'MW 4-5:50p', 'TR 2-3:50p', 'MW 10-11:50a', 'TR 2-3:50p', 'MW 12-1:50p', 'MW 12-1:50p', 'TR 12-1:50p', 'TR 10-11:50a', 'TR 4-5:50p', 'TR 10-11:50a', 'MW 4-5:50p', 'TR 4-5:50p', 'TR 10-11:50a', 'MW 12-1:50p', 'MW 8-9:50a', 'TR 4-5:50p', 'TR 10-11:50a']
WR201 lecture,['MWF 9-9:50a']
WR214 lecture,['MWF 9-9:50a', 'MWF 10-10:50a']
WR222 lecture,['TR 8:30-9:50a', 'TR 2-3:20p', 'MWF 10-10:50a', 'MWF 4-4:50p', 'MWF 9-9:50a', 'MWF 11-11:50a', 'TR 10-11:20a', 'MWF 3-3:50p', 'TR 4-5:20p', 'MWF 12-12:50p', 'MWF 1-1:50p', 'MWF 2-2:50p', 'MWF 8-8:50a']
WR224 lecture,['TR 12-1:20p', 'TR 8:30-9:50a', 'TR 10-11:20a', 'MWF 4-4:50p']
WR230 lecture,[]
WR240 lecture,['MWF 4-4:50p']
WR241 lecture,['MWF 3-3:50p', 'MWF 9-9:50a']
WR303 lecture,[]
WR323 lecture,[]
WR324 lecture,[]
WR327 lecture,['MWF 2-2:50p', 'MWF 1-1:50p', 'MWF 11-11:50a', 'MWF 8-8:50a', 'MWF 11-11:50a', 'TR 4-5:20p', 'MWF 12-12:50p', 'MWF 3-3:50p', 'MWF 4-4:50p', 'TR 10-11:20a', 'TR 12-1:20p', 'TR 2-3:20p', 'MWF 9-9:50a', 'MWF 9-9:50a', 'MWF 10-10:50a']
WR362 lecture,[]
WR407 lecture,[]
WR411 lecture,[]
WR448 lecture,[]
WR449 lecture,[]
WR497 lecture,[]
BB314 lecture,['TR 2-3:20p']
BB317 lecture,['MWF 12-12:50p', 'MWF 2-2:50p']
BB332 lecture,['TR 10-11:20a']
BB350 lecture,[]
BB450 lecture,['MWF 12-12:50p']
BB451 lecture,[]
BB481 lecture,['MWF 1-1:50p']
BB490 lecture,['MWF 10-10:50a']
BB493 lecture,['T 4-4:50p']
BB497 lecture,[]
BOT325 lecture,['MWF 11-11:50a']
CH101 lecture,[]
CH110 lecture,[]
CH121 lecture,['MWF 10-10:50a; R 8:30-9:50p', 'MWF 11-11:50a; R 8:30-9:50p', 'MWF 1-1:50p; R 8:30-9:50p']
CH122 lecture,[]
CH123 lecture,[]
CH201 lecture,['TR 8:30-9:50a', 'TR 10-11:20a', 'TR 12-1:20p', 'TR 2-3:20p']
CH231 lecture,[]
CH233 lecture,[]
CH261 lecture,[]
